RegionId,ZipCode,State,City,County,Latitude,Longitude,Latest_ZHVI
58478,1754,MA,Maynard,Middlesex County,42.425955,-71.456256,573995.613
58479,1756,MA,Mendon,Worcester County,42.09387,-71.544519,664450.8755
58480,1757,MA,Milford,Worcester County,42.158692,-71.521419,526473.4485
58481,1760,MA,Natick,Middlesex County,42.284822,-71.348811,872334.4768
58482,1770,MA,Sherborn,Middlesex County,42.231947,-71.372963,1178554.338
58483,1772,MA,Southborough,Worcester County,42.302877,-71.530828,927870.9153
58484,1773,MA,Lincoln,Middlesex County,42.425506,-71.310812,1620812.782
58485,1775,MA,Stow,Middlesex County,42.429688,-71.512514,788916.4648
58486,1776,MA,Sudbury,Middlesex County,42.383367,-71.42107,1105317.662
58487,1778,MA,Wayland,Middlesex County,42.343687,-71.381186,1101894.806
58489,1801,MA,Woburn,Middlesex County,42.488769,-71.154438,696047.9481
58490,1803,MA,Burlington,Middlesex County,42.503227,-71.201713,816063.1208
58495,1810,MA,Andover,Essex County,42.648044,-71.161751,969168.0591
58499,1821,MA,Billerica,Middlesex County,42.54933,-71.251725,641325.3691
58501,1824,MA,Chelmsford,Middlesex County,42.59079,-71.355182,677126.6314
58502,1826,MA,Dracut,Middlesex County,42.679723,-71.30068,544938.4982
58503,1827,MA,Dunstable,Middlesex County,42.676149,-71.499772,733082.7464
58504,1830,MA,Haverhill,Essex County,42.796313,-71.053436,515910.6373
58506,1832,MA,Haverhill,Essex County,42.791114,-71.132859,535114.1274
58507,1833,MA,Georgetown,Essex County,42.727879,-70.982036,703831.3963
58508,1834,MA,Groveland,Essex County,42.7539,-71.015935,638679.9235
58509,1835,MA,Haverhill,Essex County,42.751233,-71.0943,539188.3583
58511,1841,MA,Lawrence,Essex County,42.712015,-71.164873,440840.3008
58513,1843,MA,Lawrence,Essex County,42.689974,-71.160383,470555.3433
58514,1844,MA,Methuen,Essex County,42.742468,-71.179218,547293.3048
58515,1845,MA,North Andover,Essex County,42.673909,-71.091334,854810.9684
58516,1850,MA,Lowell,Middlesex County,42.656045,-71.303309,437182.5807
58517,1851,MA,Lowell,Middlesex County,42.627812,-71.33533,488208.9406
58518,1852,MA,Lowell,Middlesex County,42.631912,-71.296025,494135.0877
58520,1854,MA,Lowell,Middlesex County,42.649481,-71.348229,494443.1554
58521,1860,MA,Merrimac,Essex County,42.838603,-71.011997,620663.4776
58522,1862,MA,Billerica,Middlesex County,42.578543,-71.295592,652762.6402
58523,1863,MA,Chelmsford,Middlesex County,42.63378,-71.38947,581543.5235
58527,1867,MA,Reading,Middlesex County,42.535183,-71.105423,871449.0688
58528,1876,MA,Tewksbury,Middlesex County,42.611801,-71.227571,632531.471
58529,1879,MA,Tyngsboro,Middlesex County,42.667762,-71.42882,643967.8616
58530,1880,MA,Wakefield,Middlesex County,42.501524,-71.067489,775488.0172
58532,1886,MA,Westford,Middlesex County,42.585541,-71.44025,834353.5895
58533,1887,MA,Wilmington,Middlesex County,42.564647,-71.164516,702846.4302
58536,1890,MA,Winchester,Middlesex County,42.452752,-71.144319,1581919.461
58539,1902,MA,Lynn,Essex County,42.471039,-70.941535,504886.2826
58541,1904,MA,Lynn,Essex County,42.492456,-70.97393,557348.5084
58542,1905,MA,Lynn,Essex County,42.465998,-70.975792,522354.6408
58543,1906,MA,Saugus,Essex County,42.468432,-71.013946,640246.1128
58544,1907,MA,Swampscott,Essex County,42.474145,-70.906597,816467.9942
58545,1908,MA,Nahant,Essex County,42.428256,-70.926041,918818.9007
58547,1913,MA,Amesbury,Essex County,42.851293,-70.95581,600669.8612
58548,1915,MA,Beverly,Essex County,42.570665,-70.867583,700033.6502
58549,1921,MA,Boxford,Essex County,42.683108,-71.01833,986343.6446
58550,1922,MA,Newbury,Essex County,42.757313,-70.914241,752646.8575
58551,1923,MA,Danvers,Essex County,42.574174,-70.950516,691930.7209
58552,1929,MA,Essex,Essex County,42.64042,-70.771172,852244.515
58553,1930,MA,Gloucester,Essex County,42.61991,-70.681824,721528.5207
58557,1938,MA,Ipswich,Essex County,42.68386,-70.842666,807876.5774
58558,1940,MA,Lynnfield,Essex County,42.534146,-71.038333,1003737.259
58559,1944,MA,Manchester,Essex County,42.576636,-70.767154,1306752.307
58560,1945,MA,Marblehead,Essex County,42.501835,-70.859126,991578.0144
58561,1949,MA,Middleton,Essex County,42.606666,-71.010316,910791.9108
58562,1950,MA,Newburyport,Essex County,42.812358,-70.891095,917770.7917
58563,1951,MA,Newbury,Essex County,42.773351,-70.850211,854383.4087
58564,1952,MA,Salisbury,Essex County,42.844793,-70.841476,573336.3211
58565,1960,MA,Peabody,Essex County,42.534279,-70.969782,648936.4806
58568,1966,MA,Rockport,Essex County,42.640715,-70.620248,862909.2765
58569,1969,MA,Rowley,Essex County,42.720873,-70.89122,734103.8464
58570,1970,MA,Salem,Essex County,42.524435,-70.870859,617149.6286
58572,1982,MA,Hamilton,Essex County,42.626223,-70.85723,822263.7883
58573,1983,MA,Topsfield,Essex County,42.641379,-70.94344,885341.7479
58574,1984,MA,Wenham,Essex County,42.600633,-70.883303,966511.2875
58575,1985,MA,West Newbury,Essex County,42.799565,-70.964428,857386.5399
58577,2019,MA,Bellingham,Norfolk County,42.076682,-71.47449,479949.3482
58579,2021,MA,Canton,Norfolk County,42.175737,-71.125385,806857.1611
58580,2025,MA,Cohasset,Norfolk County,42.236423,-70.814436,1363036.651
58581,2026,MA,Dedham,Norfolk County,42.246872,-71.179462,696353.5219
58583,2030,MA,Dover,Norfolk County,42.23416,-71.291167,1612926.813
58585,2032,MA,Walpole,Norfolk County,42.156882,-71.216187,747372.056
58586,2035,MA,Foxborough,Norfolk County,42.061338,-71.245802,655126.3024
58587,2038,MA,Franklin,Norfolk County,42.084858,-71.410571,669863.1149
58590,2043,MA,Hingham,Plymouth County,42.216098,-70.88127,1224685.921
58592,2045,MA,Hull,Plymouth County,42.292253,-70.923919,664584.3214
58594,2048,MA,Mansfield,Bristol County,42.017302,-71.21641,682440.3643
58595,2050,MA,Marshfield,Plymouth County,42.115139,-70.710331,720163.6376
58597,2052,MA,Medfield,Norfolk County,42.184599,-71.305307,991340.7161
58598,2053,MA,Medway,Norfolk County,42.156203,-71.430345,651035.8269
58599,2054,MA,Millis,Norfolk County,42.173091,-71.363751,627669.3648
58601,2056,MA,Norfolk,Norfolk County,42.113655,-71.334163,761081.6104
58604,2061,MA,Norwell,Plymouth County,42.164569,-70.818844,935771.8503
58605,2062,MA,Norwood,Norfolk County,42.18736,-71.195955,679516.9786
58607,2066,MA,Scituate,Plymouth County,42.202273,-70.758184,890045.8784
58608,2067,MA,Sharon,Norfolk County,42.1076,-71.181828,814881.0091
58610,2071,MA,Walpole,Norfolk County,42.103425,-71.273589,759932.8468
58611,2072,MA,Stoughton,Norfolk County,42.119006,-71.10365,569237.624
58612,2081,MA,Walpole,Norfolk County,42.146694,-71.270532,735609.2805
58613,2090,MA,Westwood,Norfolk County,42.219645,-71.216769,1138590.398
58614,2093,MA,Wrentham,Norfolk County,42.052671,-71.356858,686802.9661
58622,2108,MA,Boston,Suffolk County,42.357768,-71.064858,4994398.179
58628,2114,MA,Boston,Suffolk County,42.363174,-71.068646,2429970.122
58629,2115,MA,Boston,Suffolk County,42.337105,-71.105696,1251680.153
58630,2116,MA,Boston,Suffolk County,42.350579,-71.076397,2361408.464
58632,2118,MA,Boston,Suffolk County,42.337582,-71.070482,2523710.144
58633,2119,MA,Boston,Suffolk County,42.324029,-71.085017,686155.259
58634,2120,MA,Boston,Suffolk County,42.33209,-71.096545,1069122.641
58635,2121,MA,Boston,Suffolk County,42.306267,-71.085897,630534.7386
58636,2122,MA,Boston,Suffolk County,42.291413,-71.042158,722599.8128
58638,2124,MA,Boston,Suffolk County,42.285805,-71.070571,711768.1334
58639,2125,MA,Boston,Suffolk County,42.315682,-71.055555,738342.4458
58640,2126,MA,Boston,Suffolk County,42.274227,-71.097423,547166.1661
58641,2127,MA,Boston,Suffolk County,42.334992,-71.039093,986813.0426
58642,2128,MA,Boston,Suffolk County,42.361129,-71.006975,685087.6388
58643,2129,MA,Boston,Suffolk County,42.379657,-71.061487,1319825.846
58644,2130,MA,Boston,Suffolk County,42.309174,-71.113835,1116980.858
58645,2131,MA,Boston,Suffolk County,42.284333,-71.126228,730325.0635
58646,2132,MA,Boston,Suffolk County,42.280455,-71.162017,790841.8085
58648,2134,MA,Boston,Suffolk County,42.358016,-71.128608,936565.1362
58649,2135,MA,Boston,Suffolk County,42.349688,-71.153964,859891.6821
58650,2136,MA,Boston,Suffolk County,42.255083,-71.12922,600027.5336
58652,2138,MA,Cambridge,Middlesex County,42.379637,-71.135152,2398519.4
58653,2139,MA,Cambridge,Middlesex County,42.362986,-71.103353,1476804.446
58654,2140,MA,Cambridge,Middlesex County,42.392157,-71.133996,1505472.538
58655,2141,MA,Cambridge,Middlesex County,42.3703,-71.08256,1140702.102
58657,2143,MA,Somerville,Middlesex County,42.381409,-71.096714,1151521.886
58658,2144,MA,Somerville,Middlesex County,42.399655,-71.12255,1322916.483
58659,2145,MA,Somerville,Middlesex County,42.391577,-71.08991,956315.612
58660,2148,MA,Malden,Middlesex County,42.42938,-71.058706,663537.0189
58661,2149,MA,Everett,Middlesex County,42.405938,-71.054649,608891.3984
